id,x,y,邏輯樹,AbrahamsonEtAl2014,BooreAtkinson2008,CampbellBozorgnia2008,ChiouYoungs2008,LinLee2008SInter
1942,120.47905,23.35986,0.072602364,0.069853984,0.077831866,0.066540324,0.063080817,0.04804079
1943,120.47915,23.36885,0.075427078,0.067306372,0.091060244,0.083223732,0.056992707,0.068797167
1944,120.47925,23.37785,0.074922397,0.055762477,0.102207804,0.077568294,0.060632518,0.063138628
1945,120.47936,23.38684,0.069505951,0.052402904,0.097881548,0.059420194,0.050802921,0.048639252
1946,120.48502,23.01812,0.219666092,0.126677965,0.220269286,0.160821658,0.14763762,0.188817324
1947,120.48512,23.02711,0.140295277,0.122525787,0.132980353,0.097161825,0.10904091,0.138030513
1948,120.48522,23.0361,0.210354114,0.136130203,0.214446004,0.107494763,0.155383191,0.135054055
1949,120.48532,23.0451,0.193915574,0.131704987,0.206596378,0.095262573,0.108602097,0.158744516
1950,120.48542,23.05409,0.193358148,0.1494464,0.173334674,0.160490157,0.099611006,0.12855517
1951,120.48552,23.06308,0.168725792,0.151505195,0.123075796,0.122370844,0.124460344,0.147656417
1952,120.48562,23.07208,0.136264115,0.114307171,0.111957651,0.09484001,0.110428987,0.132198935
1953,120.48572,23.08107,0.204439275,0.140312031,0.197833357,0.104953781,0.11003128,0.157960143
1954,120.48582,23.09006,0.195840656,0.162882854,0.183427164,0.074214146,0.116546647,0.108031379
1955,120.48592,23.09906,0.145968167,0.12895351,0.1320809,0.090481928,0.103226511,0.126909706
1956,120.48602,23.10805,0.146882144,0.121593781,0.142981258,0.10957038,0.084274673,0.116762009
1957,120.48612,23.11704,0.115485706,0.09007535,0.106686978,0.121535315,0.093787881,0.117879914
1958,120.48622,23.12604,0.171800615,0.11850878,0.164270914,0.12422797,0.099075962,0.122760925
1959,120.48632,23.13503,0.158649175,0.101997628,0.195826462,0.079146406,0.104234181,0.113615681
1960,120.48642,23.14402,0.155974907,0.153460161,0.14398416,0.098614267,0.080116727,0.12985132
1961,120.48652,23.15302,0.136349937,0.124428227,0.117100846,0.074677513,0.077175785,0.099621411
1962,120.48663,23.16201,0.13581484,0.113437661,0.136754342,0.086997588,0.085535442,0.094265161
1963,120.48673,23.171,0.115907007,0.107779153,0.101770437,0.080268902,0.092309082,0.111730449
1964,120.48683,23.18,0.122176428,0.090291978,0.151586027,0.097457602,0.091727537,0.075337781
1965,120.48693,23.18899,0.122040064,0.090687674,0.15142346,0.111623137,0.098856615,0.083220623
1966,120.48703,23.19798,0.105994619,0.093372896,0.116170065,0.09252439,0.075456099,0.095722495
1967,120.48713,23.20698,0.105929115,0.074864759,0.13118916,0.089711429,0.099531127,0.12361217
1968,120.48723,23.21597,0.131947344,0.109238437,0.142245163,0.078951068,0.0828353,0.118044839
1969,120.48733,23.22496,0.128870181,0.118787012,0.157340204,0.080680793,0.076780953,0.08880138
1970,120.48743,23.23396,0.121384687,0.081801445,0.148454033,0.083667383,0.071544817,0.094686699
1971,120.48753,23.24295,0.092517631,0.086745897,0.106446435,0.060201708,0.078024326,0.080407799
1972,120.48763,23.25194,0.102561414,0.083250772,0.111222207,0.064516797,0.07283318,0.109025129
1973,120.48773,23.26093,0.087882699,0.065295934,0.110175117,0.089014227,0.087430014,0.06710612
1974,120.48783,23.26993,0.075543349,0.064566517,0.100475894,0.064824921,0.055962679,0.079317259
1975,120.48794,23.27892,0.101027001,0.075784491,0.114269474,0.089698915,0.067121561,0.096964731
1976,120.48804,23.28791,0.098468634,0.085445058,0.103465064,0.057325787,0.059432318,0.072703192
1977,120.48814,23.29691,0.088239212,0.070810233,0.097438312,0.071585493,0.052900048,0.092946718
1978,120.48824,23.3059,0.074052665,0.053053366,0.099604423,0.047512062,0.055210072,0.092430432
1979,120.48834,23.31489,0.085787006,0.058336831,0.099868065,0.058385231,0.067883782,0.072495551
1980,120.48844,23.32389,0.07996064,0.064423099,0.095253137,0.063205455,0.039839546,0.068201426
1981,120.48854,23.33288,0.073412397,0.055200787,0.099963707,0.072189871,0.068803659,0.079101636
1982,120.48865,23.34187,0.100670864,0.097203106,0.086874231,0.068841005,0.051423579,0.060103291
1983,120.48875,23.35087,0.075534229,0.054818311,0.09440118,0.061251109,0.061146761,0.062669834
1984,120.48885,23.35986,0.062794166,0.061439154,0.072061651,0.063597046,0.045784548,0.081647483
1985,120.48895,23.36885,0.077100546,0.04887819,0.107077553,0.045086852,0.055471096,0.051539718
1986,120.48915,23.38684,0.065536039,0.051921065,0.091610769,0.047671865,0.058294338,0.075968341
1987,120.4949,23.02711,0.190556084,0.110186,0.180831239,0.085487481,0.115735602,0.147846848
1988,120.495,23.0361,0.157383594,0.125583727,0.138261529,0.117367741,0.114882528,0.183907422
1989,120.4951,23.0451,0.16300809,0.138497348,0.142327384,0.117210548,0.178713562,0.155022937
1990,120.4952,23.05409,0.15087563,0.121321211,0.130031916,0.089110839,0.100353091,0.147458228
1991,120.4953,23.06308,0.156723756,0.134217334,0.130087719,0.086253051,0.108142033,0.155813013
1992,120.4954,23.07208,0.171656213,0.161099358,0.119425157,0.113305867,0.118268747,0.116895629
1993,120.4955,23.08107,0.166071201,0.124052075,0.174856744,0.15057066,0.105266866,0.118673319
1994,120.4956,23.09006,0.140154921,0.085766392,0.128041515,0.127489834,0.105143009,0.109245593
1995,120.4957,23.09906,0.132755834,0.113719808,0.115541381,0.087017608,0.080067073,0.113458825
1996,120.4958,23.10805,0.148106213,0.132068236,0.130971979,0.084412479,0.097581508,0.137148769
1997,120.4959,23.11704,0.124816681,0.09071295,0.119807393,0.067860786,0.08613161,0.128190311
1998,120.496,23.12604,0.116268865,0.101007652,0.106256569,0.100957664,0.133111931,0.116501617
1999,120.4961,23.13503,0.13738642,0.105874325,0.133144051,0.090019564,0.102506711,0.115555899
2000,120.4962,23.14402,0.131619001,0.074985545,0.174612864,0.087546062,0.082885252,0.148400063
2001,120.49631,23.15302,0.133319632,0.114641638,0.113555338,0.093870592,0.071916236,0.116683504
2002,120.49641,23.16201,0.129074802,0.079607034,0.154188361,0.099715318,0.103015455,0.06621381
2003,120.49651,23.171,0.111891141,0.094816254,0.110427997,0.068907606,0.075249333,0.082393596
2004,120.49661,23.18,0.14945878,0.103504989,0.193831187,0.080309496,0.08563647,0.066075472
2005,120.49671,23.18899,0.110576001,0.07038089,0.136411481,0.087201543,0.08520349,0.112172755
2006,120.49681,23.19798,0.094877379,0.084442615,0.101037062,0.09123298,0.076393716,0.10082947
2007,120.49691,23.20698,0.115343933,0.102928289,0.138124689,0.077648341,0.102452774,0.086693472
2008,120.49701,23.21597,0.08888656,0.063940364,0.110881409,0.093223551,0.072442147,0.08819826
2009,120.49712,23.22496,0.088860807,0.084372869,0.083581268,0.050498653,0.070216521,0.072331011
2010,120.49722,23.23396,0.086809067,0.077431082,0.100675325,0.091879978,0.071464604,0.098683896
2011,120.49732,23.24295,0.079871596,0.076417254,0.092714076,0.073322737,0.078206687,0.069863671
2012,120.49742,23.25194,0.111588487,0.103839907,0.112471056,0.096607292,0.060777785,0.082531747
